SENSITIVITY ANALYSIS,,,,,
,,,,,
CONVERSION RATE IMPACT (Monthly: 300 Previews),,,,,
Conversion Rate,2%,3%,4%,5%,6%
Total Conversions,6,9,12,15,18
Digital (25%),1.5,2.3,3.0,3.8,4.5
Printed (75%),4.5,6.8,9.0,11.3,13.5
,,,,,
Revenue,,,,,
Digital Revenue,$22.50,$33.75,$45.00,$56.25,$67.50
Printed Revenue,$202.50,$303.75,$405.00,$506.25,$607.50
Total Revenue,$225.00,$337.50,$450.00,$562.50,$675.00
,,,,,
Costs,,,,,
Preview Costs,$27.00,$27.00,$27.00,$27.00,$27.00
Variable Costs,$131.72,$197.58,$263.44,$329.30,$395.16
Fixed Costs,$134.00,$134.00,$134.00,$134.00,$134.00
Total Costs,$292.72,$358.58,$424.44,$490.30,$556.16
,,,,,
Net Profit,-$67.72,-$21.08,$25.56,$72.20,$118.84
Net Margin %,-30.1%,-6.2%,5.7%,12.8%,17.6%
,,,,,
,,,,,
"PRICING IMPACT (Monthly: 300 Previews, 4% Conversion)",,,,,
Printed Book Price,$40,$42,$45,$48,$50
,,,,,
Printed Revenue,$360.00,$378.00,$405.00,$432.00,$450.00
Digital Revenue,$45.00,$45.00,$45.00,$45.00,$45.00
Total Revenue,$405.00,$423.00,$450.00,$477.00,$495.00
,,,,,
Variable Costs,$263.44,$263.44,$263.44,$263.44,$263.44
Fixed Costs,$134.00,$134.00,$134.00,$134.00,$134.00
,,,,,
Net Profit,$7.56,$25.56,$52.56,$79.56,$97.56
Net Margin %,1.9%,6.0%,11.7%,16.7%,19.7%
,,,,,
,,,,,
"VOLUME SCENARIOS (4% Conversion, Current Pricing)",,,,,
Scenario,Low,Medium,High,Very High,
Monthly Previews,100,300,500,1000,
,,,,,
Conversions,4,12,20,40,
Revenue,$150.00,$450.00,$750.00,"$1,500.00",
Variable Costs,$87.81,$263.44,$439.06,$878.13,
Fixed Costs,$134.00,$134.00,$134.00,$134.00,
,,,,,
Net Profit,-$71.81,$52.56,$176.94,$487.87,
Net Margin %,-47.9%,11.7%,23.6%,32.5%,
,,,,,
Break-even Previews,262,,,,
(at 4% conversion),,,,,
